번호	제목	파일명	말뭉치분류	매체	가공형태	올린사람	올린날짜	내려받기
1	독백_여행이야기#2, 형태소 분석 전자파일	6CT_0013.txt	현대 구어	화면이 없는 방송 녹음 전사:체험기술적 텍스트-즉흥독백		관리자	2014-01-09	3667
2	설교_교회목사#2, 형태소 분석 전자파일	9CT_0013.txt	현대 구어	화면이 없는 방송 녹음 전사:총류-즉흥적 독백		관리자	2014-01-09	1110
3	설교_교회목사#1, 형태소 분석 전자파일	9CT_0012.txt	현대 구어	화면이 없는 방송 녹음 전사:총류-토론/회의		관리자	2014-01-09	1014
4	폐회사_한세추, 형태소 분석 전자파일	9CT_0011.txt	현대 구어	화면이 없는 방송 녹음 전사:인문-연설/강의/강연		관리자	2014-01-09	848
5	개회사_한세추, 형태소 분석 전자파일	9CT_0010.txt	현대 구어	화면이 없는 방송 녹음 전사:인문-연설/강의/강연		관리자	2014-01-09	834
6	개회사_아카데미#3, 형태소 분석 전자파일	9CT_0009.txt	현대 구어	화면이 없는 방송 녹음 전사:인문-연설/강의/강연		관리자	2014-01-09	841
7	개회사_아카데미#2, 형태소 분석 전자파일	9CT_0008.txt	현대 구어	화면이 없는 방송 녹음 전사:총류-대화/일상		관리자	2014-01-09	769
8	개회사_아카데미#1, 형태소 분석 전자파일	9CT_0007.txt	현대 구어	화면이 없는 방송 녹음 전사:인문-연설/강의/강연		관리자	2014-01-09	826
9	강연_아이발달, 형태소 분석 전자파일	9CT_0006.txt	현대 구어	화면이 없는 방송 녹음 전사:자연-연설/강의/강연		관리자	2014-01-09	1030
10	강연_골다공증, 형태소 분석 전자파일	9CT_0005.txt	현대 구어	화면이 없는 방송 녹음 전사:자연-연설/강의/강연		관리자	2014-01-09	833
11	강연_크리스천의대화#2, 형태소 분석 전자파일	9CT_0004.txt	현대 구어	화면이 없는 방송 녹음 전사:총류-연설/강의/강연		관리자	2014-01-09	733
12	강연_크리스천의대화#1, 형태소 분석 전자파일	9CT_0003.txt	현대 구어	화면이 없는 방송 녹음 전사:라디오/종교		관리자	2014-01-09	711
13	방송_레드캣다이어리, 형태소 분석 전자파일	9CT_0002.txt	현대 구어	화면이 없는 방송 녹음 전사:생활-방송/일기		관리자	2014-01-09	748
14	방송_빅마마스오픈키친, 형태소 분석 전자파일	9CT_0001.txt	현대 구어	화면이 없는 방송 녹음 전사:생활-연설/강의/강연		관리자	2014-01-09	745
15	회의_총학생회전체회의, 형태소 분석 전자파일	8CT_0023.txt	현대 구어	화면이 없는 방송 녹음 전사:총류-대화/일상		관리자	2014-01-09	778
16	토론_세계화세미나#1,2, 형태소 분석 전자파일	8CT_0022.txt	현대 구어	화면이 없는 방송 녹음 전사:총류-대화/일상		관리자	2014-01-09	798
17	진료대화_식이요법, 형태소 분석 전자파일	8CT_0021.txt	현대 구어	화면이 없는 방송 녹음 전사:총류-대화/일상		관리자	2014-01-09	817
18	주제대화_취업, 형태소 분석 전자파일	8CT_0045.txt	현대 구어	화면이 없는 방송 녹음 전사:총류-대화/일상		관리자	2014-01-09	969
19	주제대화_대학진학, 형태소 분석 전자파일	8CT_0044.txt	현대 구어	화면이 없는 방송 녹음 전사:총류-대화/일상		관리자	2014-01-09	876
20	전화대화_전화통화, 형태소 분석 전자파일	8CT_0046.txt	현대 구어	화면이 없는 방송 녹음 전사:총류-대화/일상		관리자	2014-01-09	958
21	일상대화_점심식사, 형태소 분석 전자파일	8CT_0043.txt	현대 구어	화면이 없는 방송 녹음 전사:총류-대화/일상		관리자	2014-01-09	1208
22	일상대화_저녁식사#2, 형태소 분석 전자파일	8CT_0042.txt	현대 구어	화면이 없는 방송 녹음 전사:총류-대화/일상		관리자	2014-01-09	918
23	강의_콘솔#1, 형태소 분석 전자파일	8CT_0019.txt	현대 구어	화면이 없는 방송 녹음 전사:총류-대화/일상		관리자	2014-01-09	739
24	수업대화_오디오EQ, 형태소 분석 전자파일	8CT_0018.txt	현대 구어	화면이 없는 방송 녹음 전사:총류-대화/일상		관리자	2014-01-09	706
25	수업대화_과외수업#3, 형태소 분석 전자파일	8CT_0025.txt	현대 구어	화면이 없는 방송 녹음 전사:총류-대화/일상		관리자	2014-01-09	753
26	수업대화_과외수업#2, 형태소 분석 전자파일	8CT_0024.txt	현대 구어	화면이 없는 방송 녹음 전사:총류-대화/일상		관리자	2014-01-09	749
27	방송_스포츠중계(축구), 형태소 분석 전자파일	8CT_0020.txt	현대 구어	화면이 없는 방송 녹음 전사:총류-대화/일상		관리자	2014-01-09	741
28	독백_군대, 형태소 분석 전자파일	8CT_0030.txt	현대 구어	화면이 없는 방송 녹음 전사:총류-대화/일상		관리자	2014-01-09	722
29	강의_인터넷, 형태소 분석 전자파일	8CT_0017.txt	현대 구어	화면이 없는 방송 녹음 전사:총류-대화/일상		관리자	2014-01-09	737
30	강의_윈도우, 형태소 분석 전자파일	8CT_0016.txt	현대 구어	화면이 없는 방송 녹음 전사:총류-대화/일상		관리자	2014-01-09	674
31	강의_방송음향, 형태소 분석 전자파일	8CT_0015.txt	현대 구어	화면이 없는 방송 녹음 전사:총류-대화/일상		관리자	2014-01-09	663
32	강의_공대수업, 형태소 분석 전자파일	8CT_0014.txt	현대 구어	화면이 없는 방송 녹음 전사:총류-대화/일상		관리자	2014-01-09	715
33	주제대화_언어와사회토론, 형태소 분석 전자파일	7CT_0022.txt	현대 구어	화면이 없는 방송 녹음 전사:총류-대화/일상		관리자	2014-01-09	741
34	주제대화_광고토론, 형태소 분석 전자파일	8CT_0039.txt	현대 구어	화면이 없는 방송 녹음 전사:총류-대화/일상		관리자	2014-01-09	722
35	주제대화_학생운동, 형태소 분석 전자파일	7CT_0045.txt	현대 구어	화면이 없는 방송 녹음 전사:총류-대화/일상		관리자	2014-01-09	695
36	주제대화_촛불시위, 형태소 분석 전자파일	8CT_0038.txt	현대 구어	화면이 없는 방송 녹음 전사:총류-대화/일상		관리자	2014-01-09	711
37	주제대화_일상#1, 형태소 분석 전자파일	7CT_0044.txt	현대 구어	화면이 없는 방송 녹음 전사:총류-대화/일상		관리자	2014-01-09	828
38	주제대화_이야기만들기, 형태소 분석 전자파일	7CT_0043.txt	현대 구어	화면이 없는 방송 녹음 전사:총류-대화/일상		관리자	2014-01-09	709
39	주제대화_이라크전쟁과한반도, 형태소 분석 전자파일	8CT_0037.txt	현대 구어	화면이 없는 방송 녹음 전사:총류-대화/일상		관리자	2014-01-09	687
40	주제대화_외국어시험, 형태소 분석 전자파일	8CT_0036.txt	현대 구어	화면이 없는 방송 녹음 전사:총류-대화/일상		관리자	2014-01-09	709
41	주제대화_영화와연극, 형태소 분석 전자파일	8CT_0035.txt	현대 구어	화면이 없는 방송 녹음 전사:총류-대화/일상		관리자	2014-01-09	703
42	주제대화_영화와배우, 형태소 분석 전자파일	8CT_0034.txt	현대 구어	화면이 없는 방송 녹음 전사:총류-대화/일상		관리자	2014-01-09	723
43	주제대화_영화와민족, 형태소 분석 전자파일	8CT_0047.txt	현대 구어	화면이 없는 방송 녹음 전사:총류-대화/일상		관리자	2014-01-09	678
44	주제대화_영화#2, 형태소 분석 전자파일	7CT_0042.txt	현대 구어	화면이 없는 방송 녹음 전사:총류-대화/일상		관리자	2014-01-09	714
45	주제대화_연예가, 형태소 분석 전자파일	7CT_0041.txt	현대 구어	화면이 없는 방송 녹음 전사:총류-대화/일상		관리자	2014-01-09	716
46	주제대화_병역, 형태소 분석 전자파일	7CT_0040.txt	현대 구어	화면이 없는 방송 녹음 전사:총류-대화/일상		관리자	2014-01-09	670
47	주제대화_대학생동아리문화, 형태소 분석 전자파일	7CT_0039.txt	현대 구어	화면이 없는 방송 녹음 전사:총류-대화/일상		관리자	2014-01-09	711
48	주제대화_대통령선거, 형태소 분석 전자파일	7CT_0038.txt	현대 구어	화면이 없는 방송 녹음 전사:총류-대화/일상		관리자	2014-01-09	697
49	주제대화_군대#1, 형태소 분석 전자파일	8CT_0041.txt	현대 구어	화면이 없는 방송 녹음 전사:총류-대화/일상		관리자	2014-01-09	682
50	주제대화_교육, 형태소 분석 전자파일	7CT_0037.txt	현대 구어	화면이 없는 방송 녹음 전사:총류-대화/일상		관리자	2014-01-09	698
51	주제대화_PC방문화, 형태소 분석 전자파일	8CT_0040.txt	현대 구어	화면이 없는 방송 녹음 전사:총류-대화/일상		관리자	2014-01-09	673
52	전화대화_#3, 형태소 분석 전자파일	7CT_0036.txt	현대 구어	화면이 없는 방송 녹음 전사:총류-대화/전화		관리자	2014-01-09	685
53	전화대화_#2, 형태소 분석 전자파일	7CT_0035.txt	현대 구어	화면이 없는 방송 녹음 전사:총류-대화/전화		관리자	2014-01-09	694
54	전화대화_#1, 형태소 분석 전자파일	7CT_0034.txt	현대 구어	화면이 없는 방송 녹음 전사:총류-대화/전화		관리자	2014-01-09	718
55	일상대화_휴식시간, 형태소 분석 전자파일	7CT_0033.txt	현대 구어	화면이 없는 방송 녹음 전사:총류-대화/일상		관리자	2014-01-09	797
56	일상대화_칠레, 형태소 분석 전자파일	7CT_0032.txt	현대 구어	화면이 없는 방송 녹음 전사:총류-대화/일상		관리자	2014-01-09	685
57	일상대화_질병과건강, 형태소 분석 전자파일	7CT_0031.txt	현대 구어	화면이 없는 방송 녹음 전사:총류-대화/일상		관리자	2014-01-09	770
58	일상대화_정치와경제, 형태소 분석 전자파일	7CT_0030.txt	현대 구어	화면이 없는 방송 녹음 전사:총류-대화/일상		관리자	2014-01-09	765
59	일상대화_인터넷사이트, 형태소 분석 전자파일	7CT_0029.txt	현대 구어	화면이 없는 방송 녹음 전사:총류-대화/일상		관리자	2014-01-09	758
60	일상대화_식사잡담, 형태소 분석 전자파일	7CT_0028.txt	현대 구어	화면이 없는 방송 녹음 전사:총류-대화/일상		관리자	2014-01-09	793
61	일상대화_식사, 형태소 분석 전자파일	7CT_0027.txt	현대 구어	화면이 없는 방송 녹음 전사:총류-대화/일상		관리자	2014-01-09	735
62	일상대화_수강과목, 형태소 분석 전자파일	7CT_0026.txt	현대 구어	화면이 없는 방송 녹음 전사:총류-대화/일상		관리자	2014-01-09	701
63	일상대화_미팅_#2, 형태소 분석 전자파일	7CT_0025.txt	현대 구어	화면이 없는 방송 녹음 전사:총류-대화/일상		관리자	2014-01-09	777
64	일상대화_대학생놀이문화, 형태소 분석 전자파일	7CT_0024.txt	현대 구어	화면이 없는 방송 녹음 전사:총류-대화/일상		관리자	2014-01-09	756
65	일상대화_개인담#1, 형태소 분석 전자파일	7CT_0023.txt	현대 구어	화면이 없는 방송 녹음 전사:총류-대화/일상		관리자	2014-01-09	763
66	강의_한국어와컴퓨터, 형태소 분석 전자파일	7CT_0021.txt	현대 구어	화면이 없는 방송 녹음 전사:인문-연설/강의/강연		관리자	2014-01-09	691
67	수업대화_과외지도, 형태소 분석 전자파일	7CT_0020.txt	현대 구어	화면이 없는 방송 녹음 전사:자연-대화/일상		관리자	2014-01-09	677
68	발표_한시, 형태소 분석 전자파일	7CT_0006.txt	현대 구어	화면이 없는 방송 녹음 전사:예술론-연설/강의/강연		관리자	2014-01-09	635
69	발표_학습과기억, 형태소 분석 전자파일	7CT_0005.txt	현대 구어	화면이 없는 방송 녹음 전사:사회-연설/강의/강연		관리자	2014-01-09	660
70	발표_사회문제, 형태소 분석 전자파일	8CT_0013.txt	현대 구어	화면이 없는 방송 녹음 전사:사회-연설/강의/강연		관리자	2014-01-09	648
71	독백_학교생활과여행기, 형태소 분석 전자파일	7CT_0018.txt	현대 구어	화면이 있는 방송 녹화 전사:총류		관리자	2014-01-09	646
72	독백_친구_#2, 형태소 분석 전자파일	7CT_0017.txt	현대 구어	화면이 있는 방송 녹화 전사:총류		관리자	2014-01-09	633
73	독백_취업#2, 형태소 분석 전자파일	8CT_0029.txt	현대 구어	화면이 있는 방송 녹화 전사:총류		관리자	2014-01-09	627
74	독백_취업#1, 형태소 분석 전자파일	7CT_0016.txt	현대 구어	화면이 있는 방송 녹화 전사:총류		관리자	2014-01-09	641
75	독백_첫사랑,전공,군대, 형태소 분석 전자파일	7CT_0015.txt	현대 구어	화면이 있는 방송 녹화 전사:총류		관리자	2014-01-09	635
76	독백_짝사랑, 형태소 분석 전자파일	7CT_0014.txt	현대 구어	화면이 있는 방송 녹화 전사:총류		관리자	2014-01-09	743
77	독백_일본여행기, 형태소 분석 전자파일	7CT_0013.txt	현대 구어	화면이 있는 방송 녹화 전사:총류		관리자	2014-01-09	648
78	독백_이상형#1, 형태소 분석 전자파일	8CT_0033.txt	현대 구어	화면이 있는 방송 녹화 전사:총류		관리자	2014-01-09	647
79	독백_유아교육, 형태소 분석 전자파일	8CT_0028.txt	현대 구어	화면이 있는 방송 녹화 전사:총류		관리자	2014-01-09	644
80	독백_영화이야기, 형태소 분석 전자파일	7CT_0012.txt	현대 구어	화면이 있는 방송 녹화 전사:총류		관리자	2014-01-09	633
81	독백_연애, 형태소 분석 전자파일	7CT_0011.txt	현대 구어	화면이 있는 방송 녹화 전사:총류		관리자	2014-01-09	647
82	독백_어학연수, 형태소 분석 전자파일	8CT_0027.txt	현대 구어	화면이 있는 방송 녹화 전사:총류		관리자	2014-01-09	635
83	독백_살면서중요한것, 형태소 분석 전자파일	7CT_0010.txt	현대 구어	화면이 있는 방송 녹화 전사:총류		관리자	2014-01-09	648
84	독백_사관학교, 형태소 분석 전자파일	7CT_0009.txt	현대 구어	화면이 있는 방송 녹화 전사:총류		관리자	2014-01-09	621
85	독백_대학생활, 형태소 분석 전자파일	8CT_0026.txt	현대 구어	화면이 있는 방송 녹화 전사:총류		관리자	2014-01-09	648
86	독백_대학교, 형태소 분석 전자파일	7CT_0008.txt	현대 구어	화면이 있는 방송 녹화 전사:총류		관리자	2014-01-09	636
87	독백_교환학생, 형태소 분석 전자파일	7CT_0007.txt	현대 구어	화면이 있는 방송 녹화 전사:총류		관리자	2014-01-09	631
88	독백_고등학교친구, 형태소 분석 전자파일	8CT_0032.txt	현대 구어	화면이 있는 방송 녹화 전사:총류		관리자	2014-01-09	633
89	독백_결혼, 형태소 분석 전자파일	8CT_0031.txt	현대 구어	화면이 있는 방송 녹화 전사:총류		관리자	2014-01-09	635
90	구매대화_화장품, 형태소 분석 전자파일	7CT_0019.txt	현대 구어	화면이 없는 방송 녹음 전사:총류-대화/일상		관리자	2014-01-09	712
91	강의_NGO경영#2, 형태소 분석 전자파일	8CT_0012.txt	현대 구어	화면이 없는 방송 녹음 전사:사회-연설/강의/강연		관리자	2014-01-09	634
92	강의_NGO경영#1, 형태소 분석 전자파일	8CT_0011.txt	현대 구어	화면이 없는 방송 녹음 전사:사회-연설/강의/강연		관리자	2014-01-09	639
93	강의_현대작가연구, 형태소 분석 전자파일	8CT_0010.txt	현대 구어	화면이 없는 방송 녹음 전사:예술론-연설/강의/강연		관리자	2014-01-09	637
94	강연_한국어의형태론적이해, 형태소 분석 전자파일	8CT_0009.txt	현대 구어	화면이 없는 방송 녹음 전사:인문-연설/강의/강연		관리자	2014-01-09	639
95	강의_한국어의이해#1, 형태소 분석 전자파일	8CT_0008.txt	현대 구어	화면이 없는 방송 녹음 전사:인문-연설/강의/강연		관리자	2014-01-09	662
96	강의_한국미술사, 형태소 분석 전자파일	7CT_0004.txt	현대 구어	화면이 없는 방송 녹음 전사:예술론-연설/강의/강연		관리자	2014-01-09	637
97	강연_저작권, 형태소 분석 전자파일	7CT_0003.txt	현대 구어	화면이 없는 방송 녹음 전사:사회-연설/강의/강연		관리자	2014-01-09	648
98	강의_음성정보처리기술소개, 형태소 분석 전자파일	8CT_0007.txt	현대 구어	화면이 없는 방송 녹음 전사:자연-연설/강의/강연		관리자	2014-01-09	653
99	강의_언어병리학특강, 형태소 분석 전자파일	8CT_0006.txt	현대 구어	화면이 없는 방송 녹음 전사:자연-연설/강의/강연		관리자	2014-01-09	634
100	강의_언어교육이론, 형태소 분석 전자파일	8CT_0005.txt	현대 구어	화면이 없는 방송 녹음 전사:인문-연설/강의/강연		관리자	2014-01-09	665
101	설교_목사설교, 형태소 분석 전자파일	8CT_0004.txt	현대 구어	화면이 없는 방송 녹음 전사:인문-연설/강의/강연		관리자	2014-01-09	609
102	강의_국어정보학, 형태소 분석 전자파일	7CT_0002.txt	현대 구어	화면이 없는 방송 녹음 전사:인문-연설/강의/강연		관리자	2014-01-09	632
103	강의_교과교육론, 형태소 분석 전자파일	8CT_0003.txt	현대 구어	화면이 없는 방송 녹음 전사:인문-연설/강의/강연		관리자	2014-01-09	621
104	강의_가정교과, 형태소 분석 전자파일	7CT_0001.txt	현대 구어	화면이 없는 방송 녹음 전사:생활-연설/강의/강연		관리자	2014-01-09	620
105	발표_대학원수업, 형태소 분석 전자파일	6CT_0003.txt	현대 구어	화면이 없는 방송 녹음 전사:인문-연설/강의/강연		관리자	2014-01-09	638
106	강의_연구방법론, 형태소 분석 전자파일	6CT_0002.txt	현대 구어	화면이 없는 방송 녹음 전사:인문-연설/강의/강연		관리자	2014-01-09	617
107	설교_교회특강, 형태소 분석 전자파일	5CT_0033.txt	현대 구어	화면이 없는 방송 녹음 전사:인문-연설/강의/강연		관리자	2014-01-09	644
108	독백_학창시절, 형태소 분석 전자파일	6CT_0024.txt	현대 구어	화면이 있는 방송 녹화 전사:총류		관리자	2014-01-09	624
109	독백_친구, 형태소 분석 전자파일	6CT_0023.txt	현대 구어	화면이 있는 방송 녹화 전사:총류		관리자	2014-01-09	629
110	독백_추천영화베스트7, 형태소 분석 전자파일	6CT_0022.txt	현대 구어	화면이 있는 방송 녹화 전사:총류		관리자	2014-01-09	631
111	독백_장래희망의변화, 형태소 분석 전자파일	6CT_0021.txt	현대 구어	화면이 있는 방송 녹화 전사:총류		관리자	2014-01-09	609
112	독백_외국인학생, 형태소 분석 전자파일	6CT_0020.txt	현대 구어	화면이 있는 방송 녹화 전사:총류		관리자	2014-01-09	625
113	독백_영화이야기#6, 형태소 분석 전자파일	6CT_0019.txt	현대 구어	화면이 있는 방송 녹화 전사:총류		관리자	2014-01-09	607
114	독백_영화이야기#5, 형태소 분석 전자파일	6CT_0018.txt	현대 구어	화면이 있는 방송 녹화 전사:총류		관리자	2014-01-09	606
115	독백_영화이야기#4, 형태소 분석 전자파일	6CT_0017.txt	현대 구어	화면이 있는 방송 녹화 전사:총류		관리자	2014-01-09	592
116	독백_영화이야기#3, 형태소 분석 전자파일	6CT_0016.txt	현대 구어	화면이 있는 방송 녹화 전사:총류		관리자	2014-01-09	601
117	독백_영화이야기#2, 형태소 분석 전자파일	6CT_0015.txt	현대 구어	화면이 있는 방송 녹화 전사:총류		관리자	2014-01-09	602
118	독백_영화이야기#1, 형태소 분석 전자파일	6CT_0014.txt	현대 구어	화면이 있는 방송 녹화 전사:총류		관리자	2014-01-09	603
119	독백_연애담과신혼여행기, 형태소 분석 전자파일	5CT_0034.txt	현대 구어	화면이 있는 방송 녹화 전사:총류		관리자	2014-01-09	618
120	독백_여행이야기, 형태소 분석 전자파일	6CT_0012.txt	현대 구어	화면이 있는 방송 녹화 전사:총류		관리자	2014-01-09	616
121	독백_어린시절의추억, 형태소 분석 전자파일	6CT_0011.txt	현대 구어	화면이 있는 방송 녹화 전사:총류		관리자	2014-01-09	610
122	독백_어린시절의우정, 형태소 분석 전자파일	6CT_0010.txt	현대 구어	화면이 있는 방송 녹화 전사:총류		관리자	2014-01-09	604
123	독백_아르바이트경험, 형태소 분석 전자파일	6CT_0009.txt	현대 구어	화면이 있는 방송 녹화 전사:총류		관리자	2014-01-09	619
124	독백_선생님, 형태소 분석 전자파일	6CT_0008.txt	현대 구어	화면이 있는 방송 녹화 전사:총류		관리자	2014-01-09	603
125	독백_사랑이야기#3, 형태소 분석 전자파일	6CT_0007.txt	현대 구어	화면이 있는 방송 녹화 전사:총류		관리자	2014-01-09	601
126	독백_사랑이야기#2, 형태소 분석 전자파일	6CT_0006.txt	현대 구어	화면이 있는 방송 녹화 전사:총류		관리자	2014-01-09	610
127	독백_사랑이야기#1, 형태소 분석 전자파일	6CT_0005.txt	현대 구어	화면이 있는 방송 녹화 전사:총류		관리자	2014-01-09	603
128	독백_동화(백설공주), 형태소 분석 전자파일	6CT_0004.txt	현대 구어	화면이 있는 방송 녹화 전사:총류		관리자	2014-01-09	620
129	강의_편집실수업, 형태소 분석 전자파일	8CT_0002.txt	현대 구어	화면이 없는 방송 녹음 전사:총류-즉흥적 독백		관리자	2014-01-09	608
130	강의_칼비테수업, 형태소 분석 전자파일	8CT_0001.txt	현대 구어	화면이 없는 방송 녹음 전사:총류-즉흥적 독백		관리자	2014-01-09	611
131	전화대화_자료수집, 형태소 분석 전자파일	6CT_0050.txt	현대 구어	화면이 없는 방송 녹음 전사:총류-대화/전화		관리자	2014-01-09	625
132	주제대화_황사, 형태소 분석 전자파일	6CT_0059.txt	현대 구어	화면이 없는 방송 녹음 전사:총류-대화/일상		관리자	2014-01-09	624
133	주제대화_향수와영화, 형태소 분석 전자파일	6CT_0058.txt	현대 구어	화면이 없는 방송 녹음 전사:총류-대화/일상		관리자	2014-01-09	634
134	주제대화_학원강사와고등학생, 형태소 분석 전자파일	6CT_0057.txt	현대 구어	화면이 없는 방송 녹음 전사:총류-대화/일상		관리자	2014-01-09	632
135	주제대화_직장생활, 형태소 분석 전자파일	6CT_0056.txt	현대 구어	화면이 없는 방송 녹음 전사:총류-대화/일상		관리자	2014-01-09	652
136	주제대화_연애에피소드, 형태소 분석 전자파일	6CT_0055.txt	현대 구어	화면이 없는 방송 녹음 전사:총류-대화/일상		관리자	2014-01-09	638
137	주제대화_생일결혼이야기, 형태소 분석 전자파일	6CT_0054.txt	현대 구어	화면이 없는 방송 녹음 전사:총류-대화/일상		관리자	2014-01-09	632
138	주제대화_건강이야기, 형태소 분석 전자파일	6CT_0053.txt	현대 구어	화면이 없는 방송 녹음 전사:총류-대화/일상		관리자	2014-01-09	639
139	주제대화_감기이야기, 형태소 분석 전자파일	6CT_0052.txt	현대 구어	화면이 없는 방송 녹음 전사:총류-대화/일상		관리자	2014-01-09	640
140	일상대화_버스에서친구들과, 형태소 분석 전자파일	6CT_0040.txt	현대 구어	화면이 없는 방송 녹음 전사:총류-대화/일상		관리자	2014-01-09	677
141	워크샵#4, 형태소 분석 전자파일	5CT_0058.txt	현대 구어	화면이 없는 방송 녹음 전사:인문-연설/강의/강연		관리자	2014-01-09	599
142	워크샵#3, 형태소 분석 전자파일	5CT_0057.txt	현대 구어	화면이 없는 방송 녹음 전사:인문-연설/강의/강연		관리자	2014-01-09	594
143	워크샵#2, 형태소 분석 전자파일	5CT_0056.txt	현대 구어	화면이 없는 방송 녹음 전사:인문-연설/강의/강연		관리자	2014-01-09	600
144	워크샵#1, 형태소 분석 전자파일	5CT_0055.txt	현대 구어	화면이 없는 방송 녹음 전사:인문-연설/강의/강연		관리자	2014-01-09	604
